"Species";"Site";"Model";"CV";"PA";"Group";"Nb Occ.";"Sample Bias";"Jaccard";"Bray-Curtis";"Boyce";"cAUC";"AUC";"TSS"
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;0,68;0,816053352769679;0,919;0,75
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,762;0,634230936613056;0,82;0,617
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN1";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;0,773;0,797053352769679;0,9;0,741
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,83;0,678230936613056;0,864;0,683
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;0,49;0,746053352769679;0,849;0,617
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,914;0,775230936613056;0,961;0,833
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;0,444;0,691053352769679;0,794;0,593
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,895;0,701230936613056;0,887;0,733
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;0,264;0,760053352769679;0,863;0,729
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,726;0,714230936613056;0,9;0,733
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;0,016;0,83105335276968;0,934;0,78
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,581;0,689230936613056;0,875;0,767
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;0,745;0,769053352769679;0,872;0,729
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,748;0,636230936613056;0,822;0,65
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;0,752;0,755053352769679;0,858;0,75
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,29;0,741230936613056;0,927;0,833
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;0,625;0,781053352769679;0,884;0,679
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,913;0,734230936613056;0,92;0,8
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;0,765;0,742053352769679;0,845;0,678
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,552;0,685230936613056;0,871;0,683
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;0,87;0,861053352769679;0,964;0,833
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,94;0,699230936613056;0,885;0,7
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN2";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;0,654;0,756053352769679;0,859;0,674
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,853;0,668230936613056;0,854;0,7
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;0,442;0,737053352769679;0,84;0,717
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,859;0,737230936613056;0,923;0,767
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;0,566;0,683053352769679;0,786;0,627
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,791;0,745230936613056;0,931;0,85
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;0,643;0,779053352769679;0,882;0,712
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,73;0,657230936613056;0,843;0,667
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;0,797;0,800053352769679;0,903;0,764
"Philocourdos norwayensis";"Trondheim";"GAM";"RUN3";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,816;0,743230936613056;0,929;0,8
